segm_idx,tablet_CDLI,view_desc,rec_idx,line_idx,pos_idx,train_label,mzl_label,status
1150,P336736,Rev,0,0,0,11,839,1
1150,P336736,Rev,1,0,1,90,132,1
1150,P336736,Rev,2,0,2,160,261,1
1150,P336736,Rev,3,0,3,68,851,2
1150,P336736,Rev,4,0,4,24,14,0
1150,P336736,Rev,5,0,5,48,86,0
1150,P336736,Rev,6,0,6,0,0,0
1150,P336736,Rev,7,0,7,0,0,0
1150,P336736,Rev,8,0,8,0,0,0
1150,P336736,Rev,9,1,0,3,495,1
1150,P336736,Rev,10,1,1,104,184,1
1150,P336736,Rev,11,1,2,74,493,1
1150,P336736,Rev,12,1,3,0,0,0
1150,P336736,Rev,13,1,4,0,0,0
1150,P336736,Rev,14,1,5,0,0,0
1150,P336736,Rev,15,1,6,0,0,0
1150,P336736,Rev,16,2,0,161,731,1
1150,P336736,Rev,17,2,1,38,808,1
1150,P336736,Rev,18,2,2,76,142,1
1150,P336736,Rev,19,2,3,82,812,2
1150,P336736,Rev,20,2,4,0,0,0
1150,P336736,Rev,21,2,5,0,0,0
1150,P336736,Rev,22,2,6,0,0,0
1150,P336736,Rev,23,3,0,2,1,1
1150,P336736,Rev,24,3,1,27,599,1
1150,P336736,Rev,25,3,2,39,596,1
1150,P336736,Rev,26,3,3,95,747,1
1150,P336736,Rev,27,3,4,75,640,1
1150,P336736,Rev,28,3,5,121,560,2
1150,P336736,Rev,29,3,6,0,0,0
1150,P336736,Rev,30,3,7,0,0,0
1150,P336736,Rev,31,3,8,0,0,0
1150,P336736,Rev,32,4,0,11,839,0
1150,P336736,Rev,33,4,1,4,110,1
1150,P336736,Rev,34,4,2,107,181,1
1150,P336736,Rev,35,4,3,80,252,1
1150,P336736,Rev,36,4,4,76,142,1
1150,P336736,Rev,37,4,5,107,181,2
1150,P336736,Rev,38,4,6,11,839,0
1150,P336736,Rev,39,4,7,76,142,0
1150,P336736,Rev,40,4,8,0,0,0
1147,P336736,Obv,0,0,0,14,748,1
1147,P336736,Obv,1,0,1,81,753,1
1147,P336736,Obv,2,0,2,153,714,1
1147,P336736,Obv,3,0,3,0,0,0
1147,P336736,Obv,4,0,4,0,0,0
1147,P336736,Obv,5,0,5,0,0,0
1147,P336736,Obv,6,0,6,0,0,0
1147,P336736,Obv,7,0,7,0,0,0
1147,P336736,Obv,8,1,0,220,861,1
1147,P336736,Obv,9,1,1,113,464,1
1147,P336736,Obv,10,1,2,96,567,1
1147,P336736,Obv,11,1,3,76,142,1
1147,P336736,Obv,12,1,4,0,0,2
1147,P336736,Obv,13,1,5,0,0,0
1147,P336736,Obv,14,1,6,0,0,0
1147,P336736,Obv,15,1,7,0,0,0
1147,P336736,Obv,16,2,0,14,748,1
1147,P336736,Obv,17,2,1,26,10,1
1147,P336736,Obv,18,2,2,32,641,1
1147,P336736,Obv,19,2,3,0,0,2
1147,P336736,Obv,20,2,4,0,0,0
1147,P336736,Obv,21,2,5,0,0,0
1147,P336736,Obv,22,2,6,0,0,0
1147,P336736,Obv,23,3,0,119,266,1
1147,P336736,Obv,24,3,1,0,0,2
1147,P336736,Obv,25,3,2,0,0,0
1147,P336736,Obv,26,3,3,0,0,0
1147,P336736,Obv,27,3,4,0,0,0
1147,P336736,Obv,28,3,5,0,0,0
175,P336735,Rev,0,0,0,80,252,1
175,P336735,Rev,1,0,1,89,172,1
175,P336735,Rev,2,0,2,0,0,2
175,P336735,Rev,3,0,3,0,0,0
175,P336735,Rev,4,0,4,0,0,0
175,P336735,Rev,5,0,5,0,0,0
175,P336735,Rev,6,0,6,0,0,0
175,P336735,Rev,7,1,0,26,10,1
175,P336735,Rev,8,1,1,2,1,1
175,P336735,Rev,9,1,2,194,151,1
175,P336735,Rev,10,1,3,2,1,1
175,P336735,Rev,11,1,4,3,495,1
175,P336735,Rev,12,1,5,0,0,2
175,P336735,Rev,13,1,6,0,0,0
175,P336735,Rev,14,1,7,0,0,0
175,P336735,Rev,15,1,8,0,0,0
175,P336735,Rev,16,2,0,296,348,2
175,P336735,Rev,17,2,1,108,89,1
175,P336735,Rev,18,2,2,58,24,0
175,P336735,Rev,19,2,3,0,0,0
175,P336735,Rev,20,2,4,0,0,0
175,P336735,Rev,21,3,0,0,0,0
175,P336735,Rev,22,3,1,0,0,2
175,P336735,Rev,23,3,2,76,142,1
175,P336735,Rev,24,3,3,0,0,0
175,P336735,Rev,25,3,4,0,0,0
175,P336735,Rev,26,3,5,0,0,0
175,P336735,Rev,27,4,0,0,0,0
175,P336735,Rev,28,4,1,0,0,0
175,P336735,Rev,29,4,2,62,380,1
175,P336735,Rev,30,4,3,113,464,1
175,P336735,Rev,31,4,4,0,0,0
175,P336735,Rev,32,4,5,0,0,0
175,P336735,Rev,33,4,6,0,0,0
175,P336735,Rev,34,5,0,22,681,0
175,P336735,Rev,35,5,1,80,252,2
175,P336735,Rev,36,5,2,17,112,2
175,P336735,Rev,37,5,3,0,0,0
175,P336735,Rev,38,5,4,0,0,0
175,P336735,Rev,39,5,5,0,0,0
175,P336735,Rev,40,6,0,148,566,0
175,P336735,Rev,41,6,1,119,266,2
175,P336735,Rev,42,6,2,31,113,1
175,P336735,Rev,43,6,3,62,380,2
175,P336735,Rev,44,6,4,0,0,0
175,P336735,Rev,45,6,5,0,0,0
175,P336735,Rev,46,7,0,0,0,0
175,P336735,Rev,47,7,1,0,0,0
175,P336735,Rev,48,7,2,0,0,0
175,P336735,Rev,49,7,3,0,0,0
175,P336735,Rev,50,7,4,0,0,0
