segm_idx,tablet_CDLI,view_desc,rec_idx,line_idx,pos_idx,train_label,mzl_label,status
2345,P336637,Obv,0,0,0,5,248,2
2345,P336637,Obv,1,0,1,79,724,1
2345,P336637,Obv,2,0,2,14,748,2
2345,P336637,Obv,3,0,3,25,350,2
2345,P336637,Obv,4,0,4,11,839,2
2345,P336637,Obv,5,0,5,62,380,0
2345,P336637,Obv,6,0,6,26,10,0
2345,P336637,Obv,7,0,7,95,747,0
2345,P336637,Obv,8,0,8,296,348,0
2345,P336637,Obv,9,0,9,164,815,0
2345,P336637,Obv,10,0,10,209,302,0
2345,P336637,Obv,11,0,11,87,580,0
2345,P336637,Obv,12,0,12,219,576,0
2345,P336637,Obv,13,0,13,187,644,0
2345,P336637,Obv,14,1,0,5,248,1
2345,P336637,Obv,15,1,1,213,119,1
2345,P336637,Obv,16,1,2,62,380,1
2345,P336637,Obv,17,1,3,11,839,1
2345,P336637,Obv,18,1,4,27,599,2
2345,P336637,Obv,19,1,5,0,0,0
2345,P336637,Obv,20,1,6,0,0,0
2345,P336637,Obv,21,1,7,0,0,0
2345,P336637,Obv,22,1,8,96,567,0
2345,P336637,Obv,23,1,9,11,839,0
2345,P336637,Obv,24,1,10,39,596,0
2345,P336637,Obv,25,2,0,68,851,1
2345,P336637,Obv,26,2,1,178,504,1
2345,P336637,Obv,27,2,2,87,580,1
2345,P336637,Obv,28,2,3,158,485,1
2345,P336637,Obv,29,2,4,164,815,0
2345,P336637,Obv,30,2,5,16,661,0
2345,P336637,Obv,31,2,6,48,86,0
2345,P336637,Obv,32,2,7,11,839,0
2345,P336637,Obv,33,2,8,8,111,0
2345,P336637,Obv,34,2,9,77,736,0
2345,P336637,Obv,35,2,10,19,498,0
2345,P336637,Obv,36,2,11,17,112,0
2345,P336637,Obv,37,3,0,58,24,1
2345,P336637,Obv,38,3,1,58,24,1
2345,P336637,Obv,39,3,2,108,89,1
2345,P336637,Obv,40,3,3,57,548,1
2345,P336637,Obv,41,3,4,10,869,0
2345,P336637,Obv,42,3,5,2,1,0
2345,P336637,Obv,43,3,6,88,828,0
2345,P336637,Obv,44,3,7,167,678,0
2345,P336637,Obv,45,3,8,2,1,0
2345,P336637,Obv,46,3,9,13,552,0
2345,P336637,Obv,47,3,10,18,589,0
2345,P336637,Obv,48,3,11,13,552,0
2345,P336637,Obv,49,4,0,173,708,0
2345,P336637,Obv,50,4,1,17,112,0
2345,P336637,Obv,51,4,2,148,566,1
2345,P336637,Obv,52,4,3,80,252,1
2345,P336637,Obv,53,4,4,68,851,1
2345,P336637,Obv,54,4,5,25,350,2
2345,P336637,Obv,55,4,6,26,10,0
2345,P336637,Obv,56,4,7,62,380,0
2345,P336637,Obv,57,4,8,80,252,0
2345,P336637,Obv,58,4,9,255,105,0
2345,P336637,Obv,59,4,10,16,661,0
2345,P336637,Obv,60,4,11,62,380,0
2345,P336637,Obv,61,5,0,19,498,0
2345,P336637,Obv,62,5,1,108,89,2
2345,P336637,Obv,63,5,2,11,839,1
2345,P336637,Obv,64,5,3,62,380,1
2345,P336637,Obv,65,5,4,0,0,0
2345,P336637,Obv,66,5,5,0,0,0
2345,P336637,Obv,67,5,6,0,0,0
2345,P336637,Obv,68,5,7,0,0,0
2345,P336637,Obv,69,5,8,0,0,0
2345,P336637,Obv,70,5,9,0,0,0
2345,P336637,Obv,71,5,10,0,0,0
2345,P336637,Obv,72,6,0,77,736,0
2345,P336637,Obv,73,6,1,19,498,2
2345,P336637,Obv,74,6,2,17,112,1
2345,P336637,Obv,75,6,3,58,24,2
2345,P336637,Obv,76,6,4,58,24,0
2345,P336637,Obv,77,6,5,0,0,0
2345,P336637,Obv,78,6,6,0,0,0
2345,P336637,Obv,79,6,7,0,0,0
2345,P336637,Obv,80,6,8,0,0,0
2345,P336637,Obv,81,7,0,5,248,1
2345,P336637,Obv,82,7,1,14,748,1
2345,P336637,Obv,83,7,2,122,672,1
2345,P336637,Obv,84,7,3,11,839,1
2345,P336637,Obv,85,7,4,62,380,0
2345,P336637,Obv,86,7,5,26,10,0
2345,P336637,Obv,87,7,6,32,641,0
2345,P336637,Obv,88,7,7,0,0,0
2345,P336637,Obv,89,7,8,0,0,0
2345,P336637,Obv,90,7,9,0,0,0
2345,P336637,Obv,91,7,10,0,0,0
2345,P336637,Obv,92,7,11,0,0,0
2345,P336637,Obv,93,8,0,0,0,2
2345,P336637,Obv,94,8,1,0,0,0
2345,P336637,Obv,95,8,2,0,0,0
2345,P336637,Obv,96,8,3,0,0,0
2345,P336637,Obv,97,8,4,0,0,0
2345,P336637,Obv,98,8,5,0,0,0
2345,P336637,Obv,99,8,6,0,0,0
2345,P336637,Obv,100,8,7,0,0,0
2345,P336637,Obv,101,8,8,0,0,0
2345,P336637,Obv,102,8,9,0,0,0
2345,P336637,Obv,103,8,10,0,0,0
2345,P336637,Obv,104,8,11,0,0,0
2345,P336637,Obv,105,8,12,0,0,0
1199,P336198,Rev,0,0,0,205,20,0
1199,P336198,Rev,1,0,1,0,0,0
1199,P336198,Rev,2,0,2,39,596,1
1199,P336198,Rev,3,0,3,16,661,1
1199,P336198,Rev,4,0,4,16,661,1
1199,P336198,Rev,5,0,5,365,863,1
1199,P336198,Rev,6,0,6,331,595,1
1199,P336198,Rev,7,1,0,79,724,0
1199,P336198,Rev,8,1,1,81,753,0
1199,P336198,Rev,9,1,2,14,748,0
1199,P336198,Rev,10,1,3,26,10,2
1199,P336198,Rev,11,1,4,113,464,1
1199,P336198,Rev,12,1,5,109,15,1
1199,P336198,Rev,13,1,6,15,514,1
1199,P336198,Rev,14,1,7,1,859,1
1199,P336198,Rev,15,1,8,98,578,1
1199,P336198,Rev,16,1,9,193,71,1
1199,P336198,Rev,17,1,10,178,504,1
1199,P336198,Rev,18,1,11,24,14,1
1199,P336198,Rev,19,1,12,26,10,1
1199,P336198,Rev,20,2,0,79,724,0
1199,P336198,Rev,21,2,1,14,748,0
1199,P336198,Rev,22,2,2,26,10,0
1199,P336198,Rev,23,2,3,113,464,0
1199,P336198,Rev,24,2,4,224,117,2
1199,P336198,Rev,25,2,5,24,14,1
1199,P336198,Rev,26,2,6,1,859,1
1199,P336198,Rev,27,2,7,68,851,1
1199,P336198,Rev,28,2,8,3,495,1
1199,P336198,Rev,29,2,9,32,641,1
1196,P336198,Obv,0,0,0,38,808,0
1196,P336198,Obv,1,0,1,157,238,0
1196,P336198,Obv,2,0,2,0,0,0
1196,P336198,Obv,3,0,3,311,486,0
1196,P336198,Obv,4,0,4,10,869,0
1196,P336198,Obv,5,0,5,203,884,0
1196,P336198,Obv,6,0,6,190,559,0
1196,P336198,Obv,7,0,7,10,869,0
1196,P336198,Obv,8,0,8,134,357,0
1196,P336198,Obv,9,0,9,261,131,0
1196,P336198,Obv,10,1,0,203,884,0
1196,P336198,Obv,11,1,1,190,559,0
1196,P336198,Obv,12,1,2,14,748,0
1196,P336198,Obv,13,1,3,0,0,0
1196,P336198,Obv,14,1,4,0,0,0
1196,P336198,Obv,15,1,5,0,0,0
1196,P336198,Obv,16,1,6,78,164,0
1196,P336198,Obv,17,1,7,0,0,0
1196,P336198,Obv,18,1,8,132,292,0
1196,P336198,Obv,19,1,9,62,380,2
1196,P336198,Obv,20,2,0,0,0,0
1196,P336198,Obv,21,2,1,0,0,0
1196,P336198,Obv,22,2,2,0,0,0
1196,P336198,Obv,23,2,3,0,0,0
1196,P336198,Obv,24,2,4,0,0,0
1196,P336198,Obv,25,2,5,0,0,0
1196,P336198,Obv,26,2,6,0,0,0
1196,P336198,Obv,27,2,7,0,0,0
1196,P336198,Obv,28,2,8,104,184,2
1196,P336198,Obv,29,2,9,81,753,2
1196,P336198,Obv,30,3,0,0,0,0
1196,P336198,Obv,31,3,1,0,0,0
1196,P336198,Obv,32,3,2,0,0,0
1196,P336198,Obv,33,3,3,0,0,0
1196,P336198,Obv,34,3,4,0,0,0
1196,P336198,Obv,35,3,5,0,0,0
1196,P336198,Obv,36,3,6,0,0,0
1196,P336198,Obv,37,3,7,0,0,0
1196,P336198,Obv,38,3,8,0,0,2
1196,P336198,Obv,39,3,9,11,839,1
1196,P336198,Obv,40,3,10,11,839,1
1196,P336198,Obv,41,4,0,0,0,0
1196,P336198,Obv,42,4,1,0,0,0
