segm_idx,tablet_CDLI,view_desc,collection,bbox,scale,assigned
0,P334059,,saa10,"[457, 85, 713, 251]",,False
1,P334059,,saa10,"[96, 236, 268, 689]",,False
2,P334059,,saa10,"[879, 235, 1057, 672]",,False
3,P334059,,saa10,"[282, 240, 445, 691]",,False
4,P334059,Obv,saa10,"[450, 235, 725, 694]",3.44,True
5,P334059,,saa10,"[725, 240, 884, 687]",,False
6,P334059,,saa10,"[459, 703, 711, 862]",,False
7,P334059,,saa10,"[460, 868, 710, 1049]",,False
8,P334059,,saa10,"[293, 1039, 456, 1484]",,False
9,P334059,Rev,saa10,"[454, 1036, 725, 1491]",3.44,True
10,P334059,,saa10,"[707, 1039, 908, 1490]",,False
11,P334059,,saa10,"[466, 1506, 722, 1670]",,False
12,P334059,,saa10,"[470, 1670, 760, 1838]",,False
13,P334059,,saa10,"[314, 1860, 825, 2049]",,False
14,P334908,Obv,saa10,"[692, 344, 1260, 1136]",1.85,True
15,P334908,,saa10,"[1563, 367, 1896, 1120]",,False
16,P334908,,saa10,"[345, 371, 684, 1126]",,False
17,P334908,,saa10,"[1247, 402, 1540, 1114]",,False
18,P334908,,saa10,"[723, 1138, 1229, 1466]",,False
19,P334908,Rev,saa10,"[716, 1457, 1246, 2220]",1.85,True
20,P334908,,saa10,"[736, 2217, 1245, 2529]",,False
21,P334908,,saa10,"[492, 2575, 1499, 2967]",,False
22,P334473,Obv,saa10,"[316, 62, 754, 596]",2.26,True
23,P334473,,saa10,"[70, 72, 318, 576]",,False
24,P334473,,saa10,"[752, 73, 1023, 581]",,False
25,P334473,,saa10,"[326, 605, 742, 861]",,False
26,P334473,Rev,saa10,"[312, 881, 757, 1396]",2.26,True
27,P334473,,saa10,"[321, 1422, 744, 1670]",,False
28,P334473,,saa10,"[165, 1694, 861, 1952]",,False
29,P237220,,saa10,"[135, 186, 2511, 1854]",,False
30,P237220,,saa10,"[676, 277, 1200, 1028]",,False
31,P237220,,saa10,"[242, 315, 668, 1041]",,False
32,P237220,,saa10,"[2017, 316, 2424, 1345]",,False
33,P237220,,saa10,"[1126, 396, 1669, 926]",,False
34,P237220,,saa10,"[633, 1793, 1699, 2214]",,False
35,P237220,,saa10,"[606, 2148, 2091, 3372]",,False
36,P237220,,saa10,"[672, 3348, 1197, 3788]",,False
37,P237220,,saa10,"[1163, 3384, 1667, 3772]",,False
38,P237220,,saa10,"[826, 3803, 1541, 4067]",,False
39,P314342,Obv,saa10,"[262, 63, 943, 408]",2.49,True
40,P314342,,saa10,"[938, 69, 1146, 407]",,False
41,P314342,,saa10,"[57, 74, 265, 410]",,False
42,P314342,,saa10,"[267, 446, 932, 679]",,False
43,P314342,Rev,saa10,"[263, 705, 935, 1053]",2.49,True
44,P314342,,saa10,"[275, 1072, 932, 1298]",,False
45,P314342,,saa10,"[300, 1324, 952, 1582]",,False
46,P314342,,saa10,"[459, 1337, 582, 1425]",,False
47,P314342,,saa10,"[696, 1338, 816, 1423]",,False
48,P333956,,saa10,"[777, 81, 1005, 694]",,False
49,P333956,,saa10,"[1009, 82, 1212, 696]",,False
50,P333956,,saa10,"[100, 86, 294, 682]",,False
51,P333956,,saa10,"[309, 90, 491, 685]",,False
52,P333956,Obv,saa10,"[487, 87, 798, 698]",3.11,True
