segm_idx,tablet_CDLI,view_desc,collection,bbox,scale,assigned
0,P334610,,saa01,"[585, 155, 1064, 444]",,False
1,P334610,,saa01,"[234, 432, 564, 1467]",,False
2,P334610,Obv,saa01,"[575, 436, 1091, 1467]",2.49,True
3,P334610,,saa01,"[1444, 444, 1784, 1471]",,False
4,P334610,,saa01,"[1116, 454, 1432, 1462]",,False
5,P334610,,saa01,"[595, 1511, 1084, 1789]",,False
6,P334610,,saa01,"[631, 1813, 1099, 2141]",,False
7,P334610,,saa01,"[1109, 2139, 1414, 3145]",,False
8,P334610,Rev,saa01,"[584, 2133, 1095, 3155]",2.49,True
9,P334610,,saa01,"[572, 3163, 1052, 3484]",,False
10,P334610,,saa01,"[384, 3605, 1320, 3967]",,False
11,P334044,,saa01,"[786, 273, 1339, 544]",,False
12,P334044,,saa01,"[1711, 537, 2116, 1568]",,False
13,P334044,,saa01,"[349, 545, 754, 1553]",,False
14,P334044,Obv,saa01,"[759, 540, 1370, 1558]",2.28,True
15,P334044,,saa01,"[1379, 557, 1697, 1560]",,False
16,P334044,,saa01,"[772, 1574, 1306, 1976]",,False
17,P334044,,saa01,"[1379, 1966, 1705, 2989]",,False
18,P334044,Rev,saa01,"[731, 1964, 1363, 3003]",2.28,True
19,P334044,,saa01,"[762, 3005, 1355, 3371]",,False
20,P334044,,saa01,"[654, 3375, 1525, 3702]",,False
21,P313907,Obv,saa01,"[23, 5, 318, 313]",2.73,True
22,P313907,,saa01,"[68, 446, 184, 495]",,False
23,P313907,,saa01,"[17, 461, 309, 578]",,False
24,P313907,,saa01,"[185, 529, 225, 569]",,False
25,P313907,,saa01,"[225, 529, 263, 569]",,False
26,P313907,,saa01,"[264, 530, 304, 569]",,False
27,P313907,,saa01,"[107, 531, 146, 569]",,False
28,P313907,,saa01,"[147, 531, 184, 569]",,False
29,P334331,Obv,saa01,"[367, 54, 864, 1031]",2.39,True
30,P334331,,saa01,"[891, 80, 1173, 1021]",,False
31,P334331,,saa01,"[61, 83, 343, 1015]",,False
32,P334331,,saa01,"[379, 1066, 846, 1372]",,False
33,P334331,Rev,saa01,"[373, 1416, 870, 2414]",2.39,True
34,P334331,,saa01,"[391, 2450, 855, 2743]",,False
35,P334331,,saa01,"[300, 2769, 1002, 3039]",,False
36,P334211,,saa01,"[572, 85, 903, 266]",,False
37,P334211,,saa01,"[1108, 270, 1341, 923]",,False
38,P334211,Obv,saa01,"[557, 266, 921, 921]",3.7,True
39,P334211,,saa01,"[356, 277, 544, 911]",,False
40,P334211,,saa01,"[927, 277, 1110, 921]",,False
41,P334211,,saa01,"[124, 282, 352, 918]",,False
42,P334211,,saa01,"[554, 916, 914, 1121]",,False
43,P334211,,saa01,"[558, 1124, 923, 1351]",,False
44,P334211,,saa01,"[557, 1345, 919, 2000]",,False
45,P334211,,saa01,"[557, 2003, 895, 2198]",,False
46,P334211,,saa01,"[470, 2245, 990, 2441]",,False
47,P334810,Obv,saa01,"[387, 59, 849, 726]",2.13,True
48,P334810,,saa01,"[57, 74, 374, 716]",,False
49,P334810,,saa01,"[878, 74, 1201, 711]",,False
50,P334810,,saa01,"[395, 750, 839, 1078]",,False
51,P334810,,saa01,"[387, 1108, 849, 1768]",,False
52,P334810,,saa01,"[397, 1790, 847, 2068]",,False
53,P334810,,saa01,"[282, 2097, 979, 2352]",,False
54,P334435,Obv,saa01,"[769, 142, 1281, 813]",2.79,True
55,P334435,,saa01,"[783, 853, 1235, 1133]",,False
56,P334435,,saa01,"[790, 1137, 1273, 1413]",,False
57,P334435,,saa01,"[799, 1420, 1254, 1694]",,False
58,P334435,Rev,saa01,"[779, 1728, 1303, 2415]",2.79,True
59,P334435,,saa01,"[1314, 1744, 1602, 2306]",,False
60,P334435,,saa01,"[159, 1748, 432, 2404]",,False
61,P334435,,saa01,"[461, 1750, 749, 2395]",,False
62,P334435,,saa01,"[1317, 2174, 1597, 2416]",,False
63,P334435,,saa01,"[786, 2417, 1286, 2697]",,False
64,P334435,,saa01,"[627, 2713, 1378, 2990]",,False
65,P314282,Obv,saa01,"[348, 74, 620, 735]",2.01,True
66,P314282,,saa01,"[644, 81, 848, 723]",,False
67,P314282,,saa01,"[866, 79, 1116, 727]",,False
68,P314282,,saa01,"[75, 82, 339, 728]",,False
69,P314282,,saa01,"[349, 731, 628, 983]",,False
70,P314282,,saa01,"[630, 977, 916, 1628]",,False
71,P314282,,saa01,"[348, 980, 627, 1624]",,False
72,P314282,,saa01,"[346, 1638, 636, 1917]",,False
73,P314282,,saa01,"[227, 2054, 822, 2128]",,False
74,P313511,,saa01,"[254, 263, 553, 1342]",,False
75,P313511,,saa01,"[586, 253, 1185, 1370]",,False
76,P313511,,saa01,"[1231, 276, 1550, 1352]",,False
77,P313511,,saa01,"[586, 1380, 1171, 1770]",,False
78,P313511,,saa01,"[590, 1795, 1176, 2099]",,False
79,P313511,,saa01,"[599, 2113, 1172, 2519]",,False
80,P313511,Obv,saa01,"[586, 2500, 1199, 3658]",0.91,True
81,P313511,,saa01,"[1229, 2511, 1594, 3610]",,False
82,P313511,,saa01,"[185, 2603, 561, 3145]",,False
83,P313511,,saa01,"[293, 3116, 542, 3642]",,False
84,P313511,,saa01,"[621, 3684, 1182, 4034]",,False
85,P313511,,saa01,"[503, 4069, 1291, 4373]",,False
86,P313435,,saa01,"[1357, 256, 1716, 1462]",,False
87,P313435,,saa01,"[1692, 256, 2060, 1462]",,False
88,P313435,Obv,saa01,"[609, 245, 1335, 1479]",1.44,True
89,P313435,,saa01,"[237, 275, 605, 1012]",,False
90,P313435,,saa01,"[242, 850, 600, 1467]",,False
91,P313435,,saa01,"[631, 1464, 1293, 1891]",,False
92,P313435,,saa01,"[610, 1893, 1299, 2257]",,False
93,P313435,,saa01,"[636, 2255, 1292, 2576]",,False
94,P313435,Rev,saa01,"[603, 2571, 1335, 3806]",1.44,True
95,P313435,,saa01,"[1303, 2591, 1693, 3800]",,False
96,P313435,,saa01,"[454, 3801, 1504, 4549]",,False
97,P313435,,saa01,"[627, 4295, 1455, 4390]",,False
98,P334729,Obv,saa01,"[306, 52, 755, 828]",3.08,True
99,P334729,,saa01,"[769, 65, 979, 817]",,False
100,P334729,,saa01,"[92, 67, 312, 816]",,False
101,P334729,,saa01,"[246, 832, 740, 1039]",,False
102,P334729,Rev,saa01,"[321, 1049, 750, 1824]",3.08,True
103,P334729,,saa01,"[300, 1831, 730, 2036]",,False
104,P334729,,saa01,"[156, 2082, 861, 2349]",,False
105,P334631,,saa01,"[1224, 91, 1515, 976]",,False
106,P334631,,saa01,"[63, 93, 380, 942]",,False
107,P334631,,saa01,"[375, 95, 700, 956]",,False
108,P334631,,saa01,"[1522, 98, 1844, 956]",,False
109,P334631,Obv,saa01,"[681, 89, 1264, 957]",2.03,True
110,P334631,,saa01,"[704, 957, 1211, 1321]",,False
111,P334631,,saa01,"[703, 1308, 1212, 2181]",,False
112,P334631,,saa01,"[688, 2166, 1205, 2459]",,False
113,P334631,,saa01,"[800, 2474, 1118, 2628]",,False
114,P334922,,saa01,"[1351, 80, 1666, 706]",,False
115,P334922,Obv,saa01,"[846, 87, 1354, 740]",1.29,True
116,P334922,,saa01,"[110, 105, 466, 720]",,False
117,P334922,,saa01,"[497, 110, 824, 727]",,False
118,P334922,,saa01,"[865, 747, 1300, 1053]",,False
119,P334922,,saa01,"[861, 1096, 1196, 1757]",,False
120,P334922,,saa01,"[861, 1779, 1219, 2010]",,False
121,P334922,,saa01,"[894, 2071, 1223, 2231]",,False
122,P313509,,saa01,"[180, 177, 450, 885]",,False
123,P313509,,saa01,"[479, 179, 767, 886]",,False
124,P313509,Obv,saa01,"[806, 171, 1276, 899]",2.77,True
125,P313509,,saa01,"[1580, 195, 1847, 882]",,False
126,P313509,,saa01,"[1296, 210, 1548, 826]",,False
127,P313509,,saa01,"[799, 910, 1259, 1185]",,False
128,P313509,Rev,saa01,"[798, 1175, 1263, 1899]",2.77,True
129,P313509,,saa01,"[484, 1188, 775, 1901]",,False
130,P313509,,saa01,"[1321, 1216, 1597, 1866]",,False
131,P313509,,saa01,"[804, 1907, 1246, 2182]",,False
132,P313509,,saa01,"[684, 2198, 1369, 2450]",,False
133,P313923,,saa01,"[60, 73, 315, 529]",,False
134,P313923,Obv,saa01,"[535, 69, 926, 535]",2.79,True
135,P313923,,saa01,"[335, 80, 528, 523]",,False
136,P313923,,saa01,"[920, 83, 1164, 533]",,False
137,P313923,,saa01,"[542, 542, 927, 766]",,False
138,P313923,,saa01,"[555, 775, 918, 992]",,False
139,P313923,,saa01,"[573, 999, 919, 1186]",,False
140,P313923,Rev,saa01,"[556, 1182, 930, 1632]",2.79,True
141,P313923,,saa01,"[353, 1196, 532, 1614]",,False
142,P313923,,saa01,"[566, 1615, 924, 1868]",,False
143,P313923,,saa01,"[618, 1868, 919, 2008]",,False
144,P334918,,saa01,"[169, 172, 535, 704]",,False
145,P334918,Obv,saa01,"[825, 169, 1300, 696]",3.23,True
146,P334918,,saa01,"[551, 185, 809, 699]",,False
147,P334918,,saa01,"[1304, 183, 1638, 687]",,False
148,P334918,,saa01,"[841, 688, 1289, 1046]",,False
149,P334918,,saa01,"[582, 1014, 813, 1537]",,False
150,P334918,Rev,saa01,"[829, 1020, 1288, 1547]",3.23,True
151,P334918,,saa01,"[828, 1591, 1293, 1875]",,False
152,P334918,,saa01,"[820, 1880, 1294, 2217]",,False
153,P334918,,saa01,"[647, 2324, 1349, 2508]",,False
154,P314051,,saa01,"[51, 51, 346, 360]",,False
155,P314051,,saa01,"[860, 62, 1182, 362]",,False
156,P314051,Obv,saa01,"[481, 63, 880, 362]",2.44,True
157,P314051,,saa01,"[328, 102, 496, 352]",,False
158,P314051,,saa01,"[500, 358, 854, 549]",,False
159,P314051,Rev,saa01,"[498, 539, 861, 816]",2.44,True
160,P314051,,saa01,"[492, 808, 864, 1054]",,False
161,P314051,,saa01,"[482, 1038, 859, 1324]",,False
162,P314051,,saa01,"[311, 1043, 501, 1316]",,False
163,P314051,,saa01,"[484, 1302, 818, 1574]",,False
164,P314051,,saa01,"[497, 1596, 810, 1738]",,False
