segm_idx,tablet_CDLI,view_desc,collection,bbox,scale,assigned
0,P335533,,saa06,"[975, 277, 1552, 637]",,False
1,P335533,Rev,saa06,"[952, 619, 1586, 1820]",1.57,True
2,P335533,,saa06,"[1599, 634, 1893, 1805]",,False
3,P335533,,saa06,"[1911, 636, 2289, 1809]",,False
4,P335533,,saa06,"[228, 653, 593, 1787]",,False
5,P335533,,saa06,"[612, 655, 940, 1790]",,False
6,P335533,,saa06,"[959, 1847, 1551, 2183]",,False
7,P335533,,saa06,"[969, 2206, 1558, 2560]",,False
8,P335533,,saa06,"[982, 2573, 1534, 2891]",,False
9,P335533,,saa06,"[1605, 2880, 1886, 4044]",,False
10,P335533,Obv,saa06,"[963, 2875, 1586, 4060]",1.57,True
11,P335533,,saa06,"[684, 2923, 955, 4005]",,False
12,P335533,,saa06,"[973, 4083, 1587, 4491]",,False
13,P335533,,saa06,"[958, 4505, 1590, 4865]",,False
14,P335533,,saa06,"[856, 4871, 1753, 5212]",,False
15,P335379,,saa06,"[73, 63, 406, 892]",,False
16,P335379,,saa06,"[1754, 72, 2072, 819]",,False
17,P335379,,saa06,"[1428, 83, 1683, 704]",,False
18,P335379,Rev,saa06,"[760, 72, 1372, 853]",3.17,True
19,P335379,,saa06,"[452, 89, 718, 876]",,False
20,P335379,,saa06,"[764, 897, 1352, 1232]",,False
21,P335379,Obv,saa06,"[766, 1203, 1348, 1972]",3.17,True
22,P335379,,saa06,"[1393, 1332, 1677, 1963]",,False
23,P335379,,saa06,"[790, 2056, 1331, 2331]",,False
24,P335192,,saa06,"[925, 99, 1179, 989]",,False
25,P335192,,saa06,"[1216, 105, 1536, 998]",,False
26,P335192,,saa06,"[80, 108, 391, 998]",,False
27,P335192,Obv,saa06,"[410, 132, 908, 1003]",2.21,True
28,P335192,,saa06,"[417, 1044, 901, 1246]",,False
29,P335192,,saa06,"[417, 1287, 905, 1573]",,False
30,P335192,Rev,saa06,"[400, 1596, 915, 2491]",2.21,True
31,P335192,,saa06,"[934, 1608, 1188, 2495]",,False
32,P335192,,saa06,"[413, 2520, 902, 2823]",,False
33,P335192,,saa06,"[390, 2836, 1004, 3086]",,False
34,P335497,Rev,saa06,"[75, 50, 373, 669]",2.61,True
35,P335497,,saa06,"[57, 687, 363, 830]",,False
36,P335497,,saa06,"[107, 695, 230, 745]",,False
37,P335497,,saa06,"[110, 745, 352, 779]",,False
38,P335958,,saa06,"[324, 14, 1096, 308]",,False
39,P335958,,saa06,"[12, 294, 326, 769]",,False
40,P335958,Obv,saa06,"[319, 294, 1083, 739]",2.27,True
41,P335958,,saa06,"[1073, 302, 1405, 835]",,False
42,P335958,,saa06,"[308, 756, 1041, 1048]",,False
43,P335958,Rev,saa06,"[312, 1049, 1082, 1472]",2.27,True
44,P335315,,saa06,"[954, 65, 1143, 543]",,False
45,P335315,Obv,saa06,"[253, 53, 799, 541]",2.96,True
46,P335315,,saa06,"[87, 74, 275, 528]",,False
47,P335315,,saa06,"[782, 77, 948, 500]",,False
48,P335315,,saa06,"[263, 539, 799, 750]",,False
49,P335315,Rev,saa06,"[258, 750, 966, 1232]",2.96,True
50,P335315,,saa06,"[275, 1234, 785, 1425]",,False
51,P335315,,saa06,"[300, 1476, 781, 1661]",,False
52,P335315,,saa06,"[369, 1589, 636, 1648]",,False
53,P335359,,saa06,"[365, 86, 807, 260]",,False
54,P335359,Obv,saa06,"[349, 241, 824, 742]",3.09,True
55,P335359,,saa06,"[110, 258, 363, 736]",,False
56,P335359,,saa06,"[995, 258, 1243, 739]",,False
57,P335359,,saa06,"[817, 263, 998, 729]",,False
58,P335359,,saa06,"[356, 744, 807, 1001]",,False
59,P335359,Rev,saa06,"[346, 983, 826, 1483]",3.09,True
60,P335359,,saa06,"[809, 999, 1009, 1462]",,False
61,P335359,,saa06,"[369, 1483, 802, 1621]",,False
62,P335359,,saa06,"[357, 1623, 820, 1850]",,False
63,P335359,,saa06,"[330, 1893, 861, 2098]",,False
64,P335320,,saa06,"[94, 103, 416, 976]",,False
65,P335320,Obv,saa06,"[484, 100, 1058, 988]",2.39,True
66,P335320,,saa06,"[1122, 115, 1442, 967]",,False
67,P335320,,saa06,"[500, 1057, 1057, 1350]",,False
68,P335320,Rev,saa06,"[494, 1411, 1063, 2279]",2.39,True
69,P335320,,saa06,"[493, 2323, 1067, 2634]",,False
70,P335320,,saa06,"[415, 2647, 1118, 2909]",,False
71,P335392,Obv,saa06,"[257, 57, 709, 324]",1.04,True
72,P335392,,saa06,"[69, 355, 215, 564]",,False
73,P335392,,saa06,"[255, 365, 710, 571]",,False
74,P335392,,saa06,"[752, 370, 917, 562]",,False
75,P335392,,saa06,"[227, 625, 709, 864]",,False
76,P335392,Rev,saa06,"[248, 886, 702, 1165]",1.04,True
77,P335392,,saa06,"[731, 920, 1031, 1145]",,False
78,P335392,,saa06,"[255, 1201, 704, 1469]",,False
79,P335392,,saa06,"[267, 1505, 695, 1708]",,False
80,P335392,,saa06,"[266, 1758, 689, 2042]",,False
81,P335392,,saa06,"[335, 2050, 642, 2198]",,False
82,P335244,,saa06,"[613, 158, 1294, 495]",,False
83,P335244,,saa06,"[1458, 535, 1906, 1205]",,False
84,P335244,,saa06,"[220, 544, 556, 1149]",,False
85,P335244,Obv,saa06,"[601, 536, 1433, 1211]",1.1,True
86,P335244,,saa06,"[611, 1218, 1423, 1609]",,False
87,P335244,Rev,saa06,"[609, 1608, 1433, 2272]",1.1,True
88,P335244,,saa06,"[633, 2294, 1411, 2651]",,False
89,P335244,,saa06,"[640, 2678, 1387, 3059]",,False
90,P335244,,saa06,"[670, 3213, 1463, 3418]",,False
91,P335159,,saa06,"[56, 80, 370, 989]",,False
92,P335159,Obv,saa06,"[441, 71, 953, 986]",2.91,True
93,P335159,,saa06,"[996, 84, 1290, 988]",,False
94,P335159,,saa06,"[447, 995, 944, 1306]",,False
95,P335159,Rev,saa06,"[423, 1333, 944, 2254]",2.91,True
96,P335159,,saa06,"[442, 2270, 946, 2573]",,False
97,P335159,,saa06,"[332, 2661, 1034, 2925]",,False
98,P335089,,saa06,"[94, 89, 388, 865]",,False
99,P335089,,saa06,"[994, 91, 1287, 865]",,False
100,P335089,Obv,saa06,"[450, 89, 929, 873]",2.47,True
101,P335089,,saa06,"[454, 916, 919, 1309]",,False
102,P335089,Rev,saa06,"[452, 1372, 923, 2180]",2.47,True
103,P335089,,saa06,"[457, 2246, 916, 2556]",,False
104,P335089,,saa06,"[325, 2580, 1028, 2844]",,False
105,P335101,,saa06,"[521, 7, 1864, 528]",,False
106,P335101,Obv,saa06,"[497, 471, 1863, 1443]",1.02,True
107,P335101,,saa06,"[1831, 492, 2347, 1422]",,False
108,P335101,,saa06,"[24, 504, 539, 1430]",,False
109,P335101,,saa06,"[512, 1392, 1836, 1910]",,False
110,P335101,Rev,saa06,"[521, 1891, 1884, 2836]",1.02,True
111,P335203,Obv,saa06,"[367, 86, 887, 947]",2.6,True
112,P335203,,saa06,"[92, 100, 369, 936]",,False
113,P335203,,saa06,"[1078, 100, 1361, 933]",,False
114,P335203,,saa06,"[856, 105, 1081, 931]",,False
115,P335203,,saa06,"[381, 962, 868, 1244]",,False
116,P335203,Rev,saa06,"[375, 1240, 893, 2077]",2.6,True
117,P335203,,saa06,"[880, 1273, 1088, 2060]",,False
118,P335203,,saa06,"[393, 2085, 852, 2212]",,False
119,P335203,,saa06,"[394, 2219, 871, 2458]",,False
120,P335063,,saa06,"[1064, 66, 1298, 456]",,False
121,P335063,,saa06,"[85, 70, 320, 458]",,False
122,P335063,Obv,saa06,"[372, 66, 1017, 466]",2.49,True
123,P335063,,saa06,"[378, 529, 1009, 767]",,False
124,P335063,,saa06,"[384, 820, 1013, 1045]",,False
125,P335063,Rev,saa06,"[372, 1088, 1019, 1489]",2.49,True
126,P335063,,saa06,"[377, 1516, 1012, 1762]",,False
127,P335063,,saa06,"[347, 1788, 1052, 2047]",,False
128,P335370,,saa06,"[1013, 75, 1272, 911]",,False
129,P335370,,saa06,"[822, 96, 1010, 911]",,False
130,P335370,,saa06,"[119, 99, 358, 897]",,False
131,P335370,Obv,saa06,"[351, 88, 826, 911]",3.6,True
132,P335370,,saa06,"[368, 911, 812, 1124]",,False
133,P335370,,saa06,"[843, 1109, 1069, 1933]",,False
134,P335370,Rev,saa06,"[346, 1113, 824, 1934]",3.6,True
135,P335370,,saa06,"[366, 1944, 797, 2147]",,False
136,P335370,,saa06,"[307, 2192, 860, 2400]",,False
137,P335230,,saa06,"[1331, 124, 1630, 710]",,False
138,P335230,,saa06,"[118, 130, 356, 677]",,False
139,P335230,,saa06,"[1043, 128, 1320, 726]",,False
140,P335230,Obv,saa06,"[364, 114, 1032, 735]",2.38,True
141,P335230,,saa06,"[386, 733, 1012, 1029]",,False
142,P335230,Rev,saa06,"[362, 1027, 1017, 1660]",2.38,True
143,P335230,,saa06,"[1040, 1062, 1282, 1643]",,False
144,P335230,,saa06,"[371, 1644, 990, 1905]",,False
145,P335230,,saa06,"[322, 1966, 1118, 2265]",,False
146,P335435,Obv,saa06,"[458, 56, 1024, 584]",2.1,True
147,P335435,,saa06,"[56, 63, 460, 578]",,False
148,P335435,,saa06,"[1024, 67, 1420, 578]",,False
149,P335435,,saa06,"[463, 583, 1020, 983]",,False
150,P335435,,saa06,"[460, 984, 1019, 1532]",,False
151,P335435,,saa06,"[460, 1533, 1017, 1960]",,False
152,P335435,,saa06,"[390, 2019, 1071, 2283]",,False
153,P335319,,saa06,"[991, 61, 1415, 1024]",,False
154,P335319,,saa06,"[67, 70, 443, 1015]",,False
155,P335319,Obv,saa06,"[460, 63, 991, 1029]",2.11,True
156,P335319,,saa06,"[461, 1034, 981, 1419]",,False
157,P335319,Rev,saa06,"[464, 1413, 978, 2380]",2.11,True
158,P335319,,saa06,"[471, 2384, 980, 2742]",,False
159,P335319,,saa06,"[400, 2798, 1104, 3067]",,False
160,P335431,Rev,saa06,"[246, 70, 843, 867]",2.42,True
161,P335431,,saa06,"[75, 91, 254, 848]",,False
162,P335431,,saa06,"[849, 92, 1023, 844]",,False
163,P335431,,saa06,"[258, 857, 824, 1044]",,False
164,P335431,,saa06,"[244, 1046, 841, 1828]",,False
165,P335431,,saa06,"[266, 1832, 813, 2006]",,False
166,P335431,,saa06,"[258, 2151, 852, 2222]",,False
167,P335023,,saa06,"[1079, 104, 1338, 844]",,False
168,P335023,Obv,saa06,"[518, 103, 1037, 856]",1.7,True
169,P335023,,saa06,"[131, 117, 508, 839]",,False
170,P335023,,saa06,"[1378, 127, 1755, 861]",,False
171,P335023,,saa06,"[540, 871, 1066, 1219]",,False
172,P335023,,saa06,"[526, 1225, 1058, 1632]",,False
173,P335023,,saa06,"[528, 1640, 1049, 1936]",,False
174,P335023,Rev,saa06,"[514, 1987, 1042, 2729]",1.7,True
175,P335023,,saa06,"[1103, 2005, 1372, 2714]",,False
176,P335023,,saa06,"[546, 2753, 1028, 3137]",,False
177,P335023,,saa06,"[290, 3148, 1134, 3465]",,False
178,P335294,Obv,saa06,"[585, 74, 1463, 1587]",1.7,True
179,P335294,,saa06,"[80, 103, 517, 1562]",,False
180,P335294,,saa06,"[1537, 108, 1973, 1557]",,False
181,P335294,,saa06,"[605, 1692, 1434, 2119]",,False
182,P335294,Rev,saa06,"[585, 2201, 1459, 3705]",1.7,True
183,P335294,,saa06,"[616, 3788, 1442, 4204]",,False
184,P335294,,saa06,"[649, 4214, 1363, 4481]",,False
185,P335069,,saa06,"[271, 99, 735, 212]",,False
186,P335069,,saa06,"[81, 216, 261, 511]",,False
187,P335069,,saa06,"[757, 216, 937, 508]",,False
188,P335069,Obv,saa06,"[263, 213, 753, 509]",3.9,True
