segm_idx,tablet_CDLI,view_desc,collection,bbox,scale,assigned
0,P334249,Obv,saa13,"[300, 68, 634, 780]",2.49,True
1,P334249,,saa13,"[64, 81, 279, 765]",,False
2,P334249,,saa13,"[664, 81, 875, 762]",,False
3,P334249,,saa13,"[311, 830, 622, 1019]",,False
4,P334249,Rev,saa13,"[295, 1070, 634, 1772]",2.49,True
5,P334249,,saa13,"[309, 1804, 647, 2046]",,False
6,P334249,,saa13,"[120, 2075, 822, 2333]",,False
7,P334364,,saa13,"[820, 69, 1052, 828]",,False
8,P334364,,saa13,"[71, 74, 308, 820]",,False
9,P334364,Obv,saa13,"[368, 67, 753, 840]",2.5,True
10,P334364,,saa13,"[389, 893, 742, 1107]",,False
11,P334364,Rev,saa13,"[376, 1157, 753, 1938]",2.5,True
12,P334364,,saa13,"[385, 1982, 748, 2214]",,False
13,P334364,,saa13,"[315, 2321, 908, 2392]",,False
14,P237235,Obv,saa13,"[376, 63, 741, 670]",2.26,True
15,P237235,,saa13,"[91, 73, 321, 653]",,False
16,P237235,,saa13,"[801, 81, 1016, 650]",,False
17,P237235,,saa13,"[390, 717, 738, 928]",,False
18,P237235,Rev,saa13,"[387, 977, 745, 1567]",2.26,True
19,P237235,,saa13,"[384, 1621, 746, 1843]",,False
20,P237235,,saa13,"[268, 1856, 924, 2124]",,False
21,P314092,,saa13,"[6, 1, 361, 416]",,False
22,P314092,,saa13,"[365, 117, 466, 174]",,False
23,P314092,,saa13,"[354, 170, 433, 419]",,False
24,P314092,,saa13,"[364, 174, 393, 211]",,False
25,P314092,,saa13,"[430, 177, 470, 290]",,False
26,P314092,,saa13,"[364, 214, 392, 253]",,False
27,P314092,,saa13,"[365, 254, 392, 290]",,False
28,P314092,,saa13,"[364, 293, 392, 330]",,False
29,P314092,,saa13,"[365, 372, 392, 409]",,False
30,P334682,,saa13,"[958, 55, 1145, 471]",,False
31,P334682,,saa13,"[834, 60, 955, 461]",,False
32,P334682,Obv,saa13,"[412, 52, 856, 478]",3.62,True
33,P334682,,saa13,"[63, 67, 256, 471]",,False
34,P334682,,saa13,"[245, 85, 428, 483]",,False
35,P334682,,saa13,"[425, 488, 830, 654]",,False
36,P334682,,saa13,"[281, 661, 426, 1034]",,False
37,P334682,Rev,saa13,"[409, 648, 842, 1075]",3.62,True
38,P334682,,saa13,"[841, 668, 966, 1057]",,False
39,P334682,,saa13,"[418, 1073, 834, 1269]",,False
40,P334682,,saa13,"[488, 1293, 795, 1439]",,False
41,P334371,,saa13,"[848, 51, 1158, 888]",,False
42,P334371,,saa13,"[1202, 64, 1481, 891]",,False
43,P334371,,saa13,"[94, 67, 339, 890]",,False
44,P334371,Obv,saa13,"[362, 57, 834, 900]",3.2,True
45,P334371,,saa13,"[373, 923, 828, 1154]",,False
46,P334371,,saa13,"[376, 1178, 833, 1995]",,False
