segm_idx,tablet_CDLI,view_desc,collection,bbox,scale,assigned
0,P313951,Rev,saa16,"[74, 58, 390, 591]",2.98,True
1,P313951,,saa16,"[56, 599, 359, 743]",,False
2,P313951,,saa16,"[108, 607, 230, 658]",,False
3,P313951,,saa16,"[111, 660, 350, 691]",,False
4,P334812,,saa16,"[59, 61, 260, 542]",,False
5,P334812,Obv,saa16,"[276, 56, 638, 538]",3.26,True
6,P334812,,saa16,"[651, 66, 834, 536]",,False
7,P334812,,saa16,"[277, 543, 633, 753]",,False
8,P334812,Rev,saa16,"[278, 767, 642, 1257]",3.26,True
9,P334812,,saa16,"[277, 1269, 635, 1479]",,False
10,P334812,,saa16,"[194, 1505, 811, 1759]",,False
11,P334549,,saa16,"[739, 67, 983, 660]",,False
12,P334549,,saa16,"[72, 70, 304, 659]",,False
13,P334549,Obv,saa16,"[298, 60, 750, 671]",2.45,True
14,P334549,,saa16,"[305, 673, 738, 923]",,False
15,P334549,,saa16,"[292, 921, 747, 1539]",,False
16,P334549,,saa16,"[306, 1544, 742, 1769]",,False
17,P334549,,saa16,"[128, 1804, 830, 2061]",,False
18,P313485,,saa16,"[316, 61, 517, 648]",,False
19,P313485,Obv,saa16,"[514, 50, 957, 646]",2.95,True
20,P313485,,saa16,"[1154, 58, 1424, 643]",,False
21,P313485,,saa16,"[64, 67, 304, 645]",,False
22,P313485,,saa16,"[956, 115, 1143, 636]",,False
23,P313485,,saa16,"[514, 647, 954, 944]",,False
24,P313485,Rev,saa16,"[507, 932, 967, 1528]",2.95,True
25,P313485,,saa16,"[509, 1524, 953, 1751]",,False
26,P313485,,saa16,"[593, 1770, 886, 1912]",,False
27,P313811,,saa16,"[144, 147, 465, 908]",,False
28,P313811,Obv,saa16,"[507, 150, 1041, 915]",2.49,True
29,P313811,,saa16,"[1398, 178, 1701, 896]",,False
30,P313811,,saa16,"[1081, 214, 1372, 904]",,False
31,P313811,,saa16,"[512, 930, 1016, 1230]",,False
32,P313811,Rev,saa16,"[517, 1225, 1023, 1953]",2.49,True
33,P313811,,saa16,"[1088, 1244, 1348, 1894]",,False
34,P313811,,saa16,"[517, 1954, 1019, 2278]",,False
35,P313811,,saa16,"[326, 2306, 1172, 2597]",,False
36,P334844,,saa16,"[2044, 68, 2412, 1050]",,False
37,P334844,,saa16,"[1811, 81, 2028, 1040]",,False
38,P334844,Obv,saa16,"[720, 47, 1811, 1064]",2.01,True
39,P334844,,saa16,"[76, 197, 453, 970]",,False
40,P334844,,saa16,"[455, 254, 730, 945]",,False
41,P334844,,saa16,"[757, 1072, 1781, 1505]",,False
42,P334844,Rev,saa16,"[719, 1473, 1816, 2521]",2.01,True
43,P334844,,saa16,"[1818, 1532, 2069, 2505]",,False
44,P334844,,saa16,"[421, 1682, 736, 2342]",,False
45,P334844,,saa16,"[761, 2552, 1771, 2902]",,False
46,P334844,,saa16,"[908, 2930, 1604, 3187]",,False
47,P334112,,saa16,"[882, 76, 1072, 495]",,False
48,P334112,,saa16,"[94, 80, 289, 497]",,False
49,P334112,Obv,saa16,"[286, 72, 891, 510]",3.06,True
50,P334112,,saa16,"[451, 512, 710, 698]",,False
51,P334112,,saa16,"[296, 690, 540, 1106]",,False
52,P334112,Rev,saa16,"[449, 700, 722, 1112]",3.06,True
53,P334112,,saa16,"[708, 706, 857, 1103]",,False
54,P334112,,saa16,"[454, 1115, 712, 1302]",,False
55,P334112,,saa16,"[331, 1381, 855, 1575]",,False
56,P314349,,saa16,"[309, 2, 814, 300]",,False
57,P314349,Rev,saa16,"[320, 303, 823, 1630]",1.58,True
58,P314349,,saa16,"[815, 354, 1141, 1593]",,False
59,P314349,,saa16,"[29, 365, 333, 1621]",,False
60,P314349,,saa16,"[316, 1614, 774, 1977]",,False
61,P314349,Obv,saa16,"[333, 1964, 836, 3294]",1.58,True
62,P334749,Rev,saa16,"[310, 42, 715, 669]",2.7,True
63,P334749,,saa16,"[61, 63, 300, 654]",,False
64,P334749,,saa16,"[729, 65, 962, 657]",,False
65,P334749,,saa16,"[321, 683, 704, 893]",,False
66,P334749,,saa16,"[314, 922, 718, 1551]",,False
67,P334749,,saa16,"[323, 1578, 709, 1781]",,False
68,P334749,,saa16,"[253, 1906, 845, 1979]",,False
69,P313461,,saa16,"[883, 198, 1555, 456]",,False
70,P313461,,saa16,"[212, 477, 487, 1886]",,False
71,P313461,,saa16,"[532, 482, 802, 1876]",,False
72,P313461,,saa16,"[2076, 482, 2362, 1897]",,False
73,P313461,Obv,saa16,"[823, 458, 1730, 1910]",3.16,True
74,P313461,,saa16,"[1751, 517, 2031, 1746]",,False
75,P313461,,saa16,"[873, 1922, 1635, 2175]",,False
76,P313461,,saa16,"[868, 2187, 1665, 2440]",,False
77,P313461,,saa16,"[889, 2458, 1629, 2689]",,False
78,P313461,Rev,saa16,"[856, 2695, 1697, 4056]",3.16,True
79,P313461,,saa16,"[574, 2738, 810, 4003]",,False
80,P313461,,saa16,"[1716, 2851, 1986, 3990]",,False
81,P313461,,saa16,"[878, 4071, 1676, 4335]",,False
82,P313461,,saa16,"[883, 4341, 1675, 4594]",,False
83,P334162,,saa16,"[1122, 187, 1308, 891]",,False
84,P334162,,saa16,"[193, 187, 444, 901]",,False
85,P334162,,saa16,"[430, 189, 645, 892]",,False
86,P334162,,saa16,"[1311, 187, 1556, 901]",,False
87,P334162,Obv,saa16,"[668, 182, 1088, 909]",2.18,True
88,P334162,,saa16,"[672, 917, 1044, 1103]",,False
89,P334162,,saa16,"[660, 1094, 1043, 1317]",,False
90,P334162,Rev,saa16,"[663, 1305, 1053, 2008]",2.18,True
91,P334162,,saa16,"[1085, 1313, 1303, 1990]",,False
92,P334162,,saa16,"[457, 1317, 653, 1980]",,False
93,P334162,,saa16,"[681, 2053, 1024, 2207]",,False
94,P334162,,saa16,"[671, 2219, 1032, 2434]",,False
95,P334162,,saa16,"[461, 2530, 1292, 2846]",,False
96,P334740,Obv,saa16,"[282, 70, 578, 576]",3.21,True
97,P334740,,saa16,"[68, 76, 286, 560]",,False
98,P334740,,saa16,"[580, 76, 794, 566]",,False
99,P334740,,saa16,"[285, 597, 576, 839]",,False
100,P334740,Rev,saa16,"[295, 860, 565, 1364]",3.21,True
101,P334740,,saa16,"[302, 1389, 617, 1601]",,False
102,P334740,,saa16,"[175, 1732, 767, 1803]",,False
103,P313963,Obv,saa16,"[473, 53, 732, 433]",2.51,True
104,P313963,,saa16,"[63, 55, 489, 435]",,False
105,P313963,,saa16,"[735, 73, 973, 428]",,False
106,P313963,,saa16,"[486, 434, 701, 635]",,False
107,P313963,,saa16,"[473, 637, 721, 1021]",,False
108,P313963,,saa16,"[470, 1020, 721, 1258]",,False
109,P313963,,saa16,"[481, 1263, 790, 1403]",,False
110,P313963,,saa16,"[536, 1319, 771, 1353]",,False
111,P334855,,saa16,"[63, 86, 346, 550]",,False
112,P334855,,saa16,"[348, 87, 605, 556]",,False
113,P334855,,saa16,"[965, 91, 1262, 542]",,False
114,P334855,Obv,saa16,"[619, 92, 961, 554]",2.75,True
115,P334855,,saa16,"[642, 557, 957, 854]",,False
116,P334855,,saa16,"[448, 849, 624, 1285]",,False
117,P334855,Rev,saa16,"[641, 858, 958, 1291]",2.75,True
118,P334855,,saa16,"[655, 1299, 923, 1547]",,False
119,P334855,,saa16,"[662, 1561, 950, 1704]",,False
120,P334292,,saa16,"[337, 16, 781, 200]",,False
121,P334292,,saa16,"[784, 262, 1018, 715]",,False
122,P334292,Obv,saa16,"[321, 258, 787, 1099]",2.16,True
123,P334292,,saa16,"[38, 275, 291, 953]",,False
124,P334292,,saa16,"[804, 748, 1040, 1144]",,False
125,P334292,,saa16,"[348, 1141, 776, 1287]",,False
126,P334292,Rev,saa16,"[335, 1374, 651, 2237]",2.16,True
127,P313604,,saa16,"[1291, 78, 1516, 433]",,False
128,P313604,,saa16,"[1027, 92, 1272, 431]",,False
129,P313604,Obv,saa16,"[589, 96, 996, 432]",2.32,True
130,P313604,,saa16,"[91, 114, 309, 409]",,False
131,P313604,,saa16,"[333, 117, 571, 396]",,False
132,P313604,,saa16,"[581, 447, 991, 675]",,False
133,P313604,,saa16,"[571, 707, 974, 1034]",,False
134,P313604,,saa16,"[998, 713, 1199, 1035]",,False
135,P313604,,saa16,"[327, 761, 554, 1028]",,False
136,P313604,,saa16,"[577, 1056, 957, 1263]",,False
137,P313604,,saa16,"[616, 1281, 935, 1430]",,False
138,P314094,,saa16,"[3, 0, 372, 387]",,False
139,P314094,,saa16,"[382, 87, 485, 143]",,False
140,P314094,,saa16,"[381, 142, 416, 385]",,False
141,P314094,,saa16,"[383, 145, 411, 180]",,False
142,P314094,,saa16,"[414, 146, 447, 379]",,False
143,P314094,,saa16,"[449, 147, 487, 259]",,False
144,P314094,,saa16,"[383, 184, 411, 223]",,False
145,P314094,,saa16,"[384, 225, 410, 260]",,False
146,P314094,,saa16,"[384, 264, 411, 300]",,False
147,P314094,,saa16,"[384, 304, 410, 338]",,False
148,P314094,,saa16,"[384, 342, 411, 379]",,False
149,P314269,,saa16,"[140, 65, 278, 456]",,False
150,P314269,,saa16,"[491, 71, 642, 460]",,False
151,P314269,Obv,saa16,"[301, 72, 470, 461]",2.67,True
152,P314269,,saa16,"[302, 471, 470, 631]",,False
153,P314269,,saa16,"[302, 637, 472, 1024]",,False
154,P314269,,saa16,"[292, 1029, 475, 1194]",,False
155,P314269,,saa16,"[141, 1199, 763, 1453]",,False
156,P314269,,saa16,"[269, 1207, 394, 1298]",,False
157,P314269,,saa16,"[508, 1210, 628, 1295]",,False
158,P314269,,saa16,"[68, 1245, 154, 1404]",,False
159,P314269,,saa16,"[349, 1360, 451, 1443]",,False
160,P314066,Obv,saa16,"[45, 6, 300, 262]",2.96,True
161,P314066,,saa16,"[27, 281, 84, 386]",,False
162,P314066,,saa16,"[86, 284, 199, 317]",,False
163,P314066,,saa16,"[80, 315, 324, 388]",,False
164,P314066,,saa16,"[85, 355, 120, 383]",,False
165,P314066,,saa16,"[124, 355, 162, 384]",,False
166,P314066,,saa16,"[163, 355, 200, 383]",,False
167,P314066,,saa16,"[203, 355, 239, 383]",,False
168,P314066,,saa16,"[280, 355, 319, 384]",,False
169,P314066,,saa16,"[243, 356, 278, 382]",,False
170,P334034,,saa16,"[607, 109, 954, 314]",,False
171,P334034,,saa16,"[134, 290, 348, 973]",,False
172,P334034,,saa16,"[1189, 301, 1400, 987]",,False
173,P334034,,saa16,"[966, 304, 1168, 982]",,False
174,P334034,,saa16,"[350, 305, 599, 978]",,False
175,P334034,Obv,saa16,"[573, 307, 953, 993]",2.68,True
176,P334034,,saa16,"[581, 994, 934, 1194]",,False
177,P334034,,saa16,"[369, 1203, 572, 1881]",,False
178,P334034,,saa16,"[956, 1205, 1130, 1882]",,False
179,P334034,Rev,saa16,"[577, 1205, 944, 1888]",2.68,True
180,P334034,,saa16,"[581, 1888, 934, 2093]",,False
181,P334034,,saa16,"[587, 2091, 973, 2291]",,False
182,P334034,,saa16,"[476, 2312, 1101, 2580]",,False
183,P334416,,saa16,"[2322, 259, 2773, 1190]",,False
184,P334416,,saa16,"[1880, 275, 2310, 1196]",,False
185,P334416,,saa16,"[777, 287, 1126, 1155]",,False
186,P334416,Obv,saa16,"[1108, 267, 1895, 1219]",1.54,True
187,P334416,,saa16,"[331, 323, 757, 1159]",,False
188,P334416,,saa16,"[1157, 1220, 1853, 1650]",,False
189,P334416,,saa16,"[1882, 1668, 2206, 2542]",,False
190,P334416,,saa16,"[1108, 1650, 1880, 2570]",,False
191,P334416,,saa16,"[1123, 2569, 1865, 3020]",,False
192,P334416,,saa16,"[921, 2991, 2067, 3414]",,False
193,P452578,,saa16,"[48, 75, 371, 807]",,False
194,P452578,,saa16,"[385, 68, 1463, 827]",,False
195,P452578,,saa16,"[1476, 105, 1780, 800]",,False
196,P452578,,saa16,"[410, 849, 1430, 1176]",,False
197,P452578,,saa16,"[380, 1207, 1463, 1965]",,False
198,P452578,,saa16,"[411, 2012, 1429, 2301]",,False
199,P452578,,saa16,"[547, 2325, 1248, 2591]",,False
200,P314062,,saa16,"[63, 61, 395, 576]",,False
201,P314062,,saa16,"[892, 63, 1304, 591]",,False
202,P314062,,saa16,"[379, 76, 544, 562]",,False
203,P314062,Obv,saa16,"[542, 67, 896, 584]",2.14,True
204,P314062,,saa16,"[536, 581, 838, 906]",,False
205,P314062,,saa16,"[532, 904, 923, 1374]",,False
206,P314062,,saa16,"[549, 1369, 785, 1585]",,False
207,P314062,,saa16,"[514, 1613, 827, 1769]",,False
208,P313459,Obv,saa16,"[389, 96, 1335, 626]",2.32,True
209,P313459,,saa16,"[412, 646, 1324, 900]",,False
210,P313459,,saa16,"[435, 905, 1334, 1133]",,False
211,P313459,,saa16,"[437, 1173, 1322, 1424]",,False
212,P313459,,saa16,"[161, 1453, 397, 1973]",,False
